Unnamed: 0,YEAR,Sports,state_cd,SUM_PARTIC_MEN,SUM_PARTIC_WOMEN,TOTAL_OPEXP_INCLCOED,SUM_TOTAL_HDCOACH,TOTAL_REVENUE_ALL,TOTAL_EXPENSE_ALL,TOTAL_PARTIC
76,2006,Baseball,ND,347,0,528731,12,1185501,1488087,347
77,2006,Baseball,NE,552,0,1315020,16,4795561,5484818,552
78,2006,Baseball,NH,324,0,579358,12,1537247,1552891,324
79,2006,Baseball,NJ,1122,0,2349408,39,7003057,7020145,1122
80,2006,Baseball,NM,265,0,720753,7,1029022,1986130,265
81,2006,Baseball,NV,118,0,746766,4,827107,2114068,118
82,2006,Baseball,NY,2941,0,5931109,109,17011760,17716879,2941
83,2006,Baseball,OH,1832,0,3892124,56,11345577,13956895,1832
84,2006,Baseball,OK,980,0,2192324,31,6950487,9175025,980
85,2006,Baseball,OR,609,0,2140879,19,3797933,5097165,609
86,2006,Baseball,PA,2612,0,4404911,98,10597385,12523037,2612
87,2006,Baseball,PR,290,0,137448,13,443178,444456,290
88,2006,Baseball,RI,217,0,563807,8,1292525,1250322,217
89,2006,Baseball,SC,967,0,2244505,27,9882098,11387716,967
90,2006,Baseball,SD,235,0,346365,8,859522,1057483,235
91,2006,Baseball,TN,1460,0,3188813,47,12478794,16271441,1460
92,2006,Baseball,TX,3190,0,8444121,91,28648208,32370078,3190
93,2006,Baseball,UT,220,0,945871,7,1207918,2350861,220
94,2006,Baseball,VA,1008,0,2411067,32,6840198,10075035,1008
95,2006,Baseball,VT,195,0,370027,9,802746,966579,195
96,2006,Baseball,WA,801,0,2136801,27,3388703,4947751,801
97,2006,Baseball,WI,842,0,1210596,28,2567737,2644948,842
98,2006,Baseball,WV,597,0,955653,18,2764047,3764546,597
99,2006,Basketball,AK,30,30,586042,4,1740949,2729670,60
100,2006,Basketball,AL,635,534,7946972,77,37137277,37831082,1169
101,2006,Basketball,AR,339,273,4124432,42,24478692,21534433,612
102,2006,Basketball,AZ,233,235,4443671,34,27379422,15914542,468
103,2006,Basketball,CA,2402,2112,22714381,315,92362297,97017025,4514
104,2006,Basketball,CO,324,273,3848078,40,15937769,19966457,597
105,2006,Basketball,CT,319,266,7341744,40,28782256,28509249,585
106,2006,Basketball,DC,105,100,4490378,14,21980241,19751247,205
107,2006,Basketball,DE,95,78,1158121,12,4306188,6061748,173
108,2006,Basketball,FL,806,740,12737326,111,49189852,60823894,1546
109,2006,Basketball,GA,596,572,7469110,81,33121972,29882456,1168
110,2006,Basketball,HI,67,65,1305941,10,3277042,4649924,132
111,2006,Basketball,IA,833,644,7479935,84,32399647,30302440,1477
112,2006,Basketball,ID,119,114,2331093,16,7360959,8424256,233
113,2006,Basketball,IL,1469,1222,12715776,183,54475105,54409214,2691
114,2006,Basketball,IN,632,565,10538288,79,48420143,45409470,1197
115,2006,Basketball,KS,792,667,8027407,92,36653047,32103799,1459
116,2006,Basketball,KY,470,388,8264452,54,53631630,38370578,858
117,2006,Basketball,LA,298,310,7154131,43,20976667,27311199,608
118,2006,Basketball,MA,859,757,7477998,116,30297808,32720358,1616
119,2006,Basketball,MD,525,426,4379865,70,23583267,22640261,951
120,2006,Basketball,ME,293,241,1229714,39,3851406,3816175,534
121,2006,Basketball,MI,853,739,10696704,103,42531149,41585690,1592
122,2006,Basketball,MN,682,561,3884231,85,18978625,14638650,1243
123,2006,Basketball,MO,842,718,7140387,104,37602036,34574713,1560
124,2006,Basketball,MS,438,384,4622181,55,20724433,19532504,822
125,2006,Basketball,MT,182,180,2593036,22,8711273,9283977,362
126,2006,Basketball,NC,917,687,13252685,105,85138120,67204670,1604
127,2006,Basketball,ND,257,215,1798884,30,4343175,5701879,472
128,2006,Basketball,NE,458,353,2841053,49,13151157,16657793,811
129,2006,Basketball,NH,188,185,1288102,26,5813067,7269974,373
130,2006,Basketball,NJ,584,511,5790196,82,27605371,27147622,1095
131,2006,Basketball,NM,114,86,2822500,13,6887886,9249607,200
132,2006,Basketball,NV,31,32,2028205,4,9399177,7368239,63
133,2006,Basketball,NY,2105,1779,16930205,283,83439010,79403362,3884
134,2006,Basketball,OH,999,929,13632534,120,65262725,54722181,1928
135,2006,Basketball,OK,566,507,6880066,69,34449697,31648860,1073
136,2006,Basketball,OR,429,349,5303195,57,17196360,18965977,778
137,2006,Basketball,PA,1814,1451,17820894,230,72401436,72001064,3265
138,2006,Basketball,PR,346,207,704417,36,1885794,1956866,553
139,2006,Basketball,RI,134,123,2421357,18,11769188,11836096,257
140,2006,Basketball,SC,496,392,5402377,58,36736458,33096898,888
141,2006,Basketball,SD,202,193,1350125,22,4432705,5126726,395
142,2006,Basketball,TN,744,660,10087010,97,53416244,52373326,1404
143,2006,Basketball,TX,1527,1278,22779314,178,99143417,100748438,2805
144,2006,Basketball,UT,179,172,4210346,22,13955379,14217298,351
145,2006,Basketball,VA,565,468,10640425,69,43709892,47260747,1033
146,2006,Basketball,VI,14,12,10000,2,20000,20000,26
147,2006,Basketball,VT,158,132,966427,22,3624085,4265930,290
148,2006,Basketball,WA,556,472,6509267,80,26325514,23331649,1028
149,2006,Basketball,WI,747,605,8694956,93,42364136,30570013,1352
150,2006,Basketball,WV,312,272,3535432,41,14952000,16084549,584
151,2006,Basketball,WY,100,68,1409357,12,5308809,5567047,168
152,2006,Beach Volleyball,PR,25,28,22174,11,76838,109988,53
153,2006,Bowling,AL,0,17,44122,2,148377,148377,17
154,2006,Bowling,AR,0,22,35095,2,138433,150001,22
155,2006,Bowling,CT,8,14,30252,2,170223,170223,22
156,2006,Bowling,DC,0,7,17116,1,112725,101871,7
157,2006,Bowling,DE,0,8,40465,1,80817,137095,8
158,2006,Bowling,FL,0,16,74403,2,126735,210494,16
159,2006,Bowling,IL,15,36,96219,4,307579,306379,51
160,2006,Bowling,IN,28,14,47110,4,254430,218259,42
161,2006,Bowling,KS,19,12,33000,2,162359,153400,31
162,2006,Bowling,KY,25,17,85849,2,201096,201096,42
163,2006,Bowling,LA,0,36,62312,3,217486,273738,36
164,2006,Bowling,MD,0,35,56240,4,288880,321340,35
165,2006,Bowling,MI,29,0,40494,2,91389,106994,29
166,2006,Bowling,MN,0,15,27699,1,59701,59698,15
167,2006,Bowling,MO,33,42,181000,6,336793,404863,75
168,2006,Bowling,MS,0,12,31818,2,77218,117007,12
169,2006,Bowling,NC,0,62,121402,9,290190,430821,62
170,2006,Bowling,NE,0,11,47259,1,3370,353835,11
171,2006,Bowling,NJ,0,28,72295,3,218769,236596,28
172,2006,Bowling,NY,87,107,167111,26,372454,338383,194
173,2006,Bowling,PA,69,34,43075,12,86241,87116,103
174,2006,Bowling,PR,13,9,7052,6,53152,59852,22
175,2006,Bowling,SC,5,13,89869,2,108327,108327,18
176,2006,Bowling,TN,12,18,83114,3,244793,423992,30
177,2006,Bowling,TX,0,15,33195,2,114380,114380,15
178,2006,Bowling,VA,0,39,65623,5,265213,268064,39
179,2006,Bowling,WI,0,17,35000,1,35008,35008,17
180,2006,Equestrian,AL,0,40,145567,1,157947,489551,40
181,2006,Equestrian,CA,0,96,171989,2,36513,539872,96
182,2006,Equestrian,CT,0,16,14171,1,63018,63018,16
183,2006,Equestrian,DE,0,6,64448,1,19939,374312,6
184,2006,Equestrian,GA,1,117,358182,3,1493031,2008667,118
185,2006,Equestrian,KS,3,95,201772,3,139049,659696,98
186,2006,Equestrian,MA,0,111,90630,5,193566,209218,111
187,2006,Equestrian,MD,1,28,87185,2,377812,182012,29
188,2006,Equestrian,MI,0,13,7523,1,8703,20897,13
189,2006,Equestrian,MN,0,37,24128,1,39247,39247,37
190,2006,Equestrian,MT,1,21,18041,1,41145,40320,22
191,2006,Equestrian,NE,4,8,6000,2,8000,7000,12
192,2006,Equestrian,NH,1,32,42473,2,258117,266834,33
193,2006,Equestrian,NJ,0,33,27488,2,44217,79247,33
194,2006,Equestrian,NM,0,30,87287,1,585850,352894,30
195,2006,Equestrian,NY,14,383,385833,14,890956,867181,397
196,2006,Equestrian,OH,20,119,34104,1,43350,53865,139
197,2006,Equestrian,OK,0,60,227537,1,343297,1097786,60
198,2006,Equestrian,PA,0,45,20999,3,63393,63393,45
199,2006,Equestrian,RI,1,66,66225,2,163205,104969,67
200,2006,Equestrian,SC,0,62,249503,2,967366,967366,62
201,2006,Equestrian,SD,0,42,269993,1,87532,414529,42
202,2006,Equestrian,TN,1,48,61493,2,180374,269704,49
203,2006,Equestrian,TX,0,208,909028,6,2644925,3512923,208
204,2006,Equestrian,VA,7,199,95555,5,738670,792361,206
205,2006,Equestrian,WY,3,27,3998,1,64391,102907,30
206,2006,Fencing,CA,60,51,121576,8,183129,544972,111
207,2006,Fencing,CT,31,33,82256,4,461844,461844,64
208,2006,Fencing,IL,0,34,146287,1,50490,500002,34
209,2006,Fencing,IN,22,15,158368,2,83679,681470,37
210,2006,Fencing,MA,78,81,140802,9,437657,443960,159
211,2006,Fencing,MD,29,24,202237,3,274857,227195,53
212,2006,Fencing,MI,24,19,63442,4,297379,298384,43
213,2006,Fencing,NC,48,46,141328,4,5658,322061,94
214,2006,Fencing,NJ,76,74,219534,11,767607,822483,150
215,2006,Fencing,NY,97,139,330376,13,1220934,1178342,236
216,2006,Fencing,OH,36,25,110254,4,171559,990035,61
217,2006,Fencing,PA,66,74,243639,8,1084674,1378091,140
218,2006,Fencing,RI,15,14,28770,2,91696,75736,29
219,2006,Fencing,VA,0,5,9101,1,57445,57445,5
220,2006,Fencing,WI,8,8,13250,2,26500,26500,16
221,2006,Field Hockey,CA,0,74,343228,3,789891,1540949,74
222,2006,Field Hockey,CT,0,231,520947,11,2100345,2819774,231
223,2006,Field Hockey,DC,0,59,153210,3,718238,927085,59
224,2006,Field Hockey,DE,0,52,94278,2,516075,593885,52
225,2006,Field Hockey,IA,0,17,127086,1,208592,833400,17
226,2006,Field Hockey,IL,0,27,178209,1,78745,882354,27
227,2006,Field Hockey,IN,0,75,214333,4,187114,1321414,75
228,2006,Field Hockey,KY,0,77,164562,4,245276,885276,77
229,2006,Field Hockey,MA,0,767,1027185,37,4907127,5694007,767
230,2006,Field Hockey,MD,0,260,495604,12,1090683,1864191,260
231,2006,Field Hockey,ME,0,198,229820,9,765191,849861,198
232,2006,Field Hockey,MI,0,63,822758,3,426659,2621280,63
233,2006,Field Hockey,MO,0,67,158457,3,402533,633087,67
234,2006,Field Hockey,NC,0,117,436374,6,969107,2559196,117
235,2006,Field Hockey,NH,0,142,270896,7,704895,1174683,142
236,2006,Field Hockey,NJ,0,326,527642,14,2199864,2254906,326
237,2006,Field Hockey,NY,0,646,1101421,31,4358435,5323807,646
238,2006,Field Hockey,OH,0,190,435133,10,1903279,2810427,190
239,2006,Field Hockey,PA,0,1319,1915501,58,7621109,8822818,1319
240,2006,Field Hockey,RI,0,112,364972,5,1050468,1483491,112
241,2006,Field Hockey,TN,0,36,83874,2,130968,160872,36
242,2006,Field Hockey,VA,0,385,742014,18,2689647,4616422,385
243,2006,Field Hockey,VT,0,109,228209,4,500181,758677,109
244,2006,Football,AL,1628,0,10545947,15,135614406,68747379,1628
245,2006,Football,AR,1163,0,5807879,11,54617736,35472860,1163
246,2006,Football,AZ,921,0,6731801,10,44923623,31728518,921
247,2006,Football,CA,7476,0,27889158,93,126978985,103842106,7476
248,2006,Football,CO,939,0,5461777,9,32035573,22980598,939
249,2006,Football,CT,719,0,5724469,8,17499367,18278866,719
250,2006,Football,DC,259,0,731457,3,2940945,4205376,259
251,2006,Football,DE,334,0,843432,3,7240401,7252660,334
252,2006,Football,FL,1223,0,17453349,12,117352962,75652719,1223
253,2006,Football,GA,1161,0,8662667,12,93631032,36175073,1161
254,2006,Football,HI,117,0,2176307,1,7533652,7033664,117
255,2006,Football,IA,2536,0,8336877,26,67087309,51234987,2536
256,2006,Football,ID,314,0,4913824,3,19099744,14538434,314
257,2006,Football,IL,3257,0,8857524,37,55408778,45002146,3257
258,2006,Football,IN,1753,0,11140264,19,116293039,56612575,1753
259,2006,Football,KS,2641,0,5667989,28,46206070,33482159,2641
260,2006,Football,KY,1477,0,6646228,15,52960120,37496108,1477
